bike_theft_id,colour,make,model,speed,bike_type,status,cost
600325,BLK   ,TREK           ,7000,8,BM,STOLEN,400.0
600326,WHIBLK,NEXT           ,,18,MT,STOLEN,200.0
600327,WHI   ,SUPERCYCLE     ,8105-19CT      ,1,OT,STOLEN,179.99
600328,BLU   ,OTHER          ,,16,RC,STOLEN,600.0
600329,BLK   ,CHARGE         ,GRATER         ,8,OT,STOLEN,900.0
600330,,OTHER          ,WEINMANN       ,0,OT,STOLEN,
600331,GRY   ,OTHER          ,RETROSPEC      ,1,OT,STOLEN,300.0
600332,YELWHI,NORCO          ,U/K            ,1,TO,STOLEN,
600333,BLKGRY,CCM            ,,18,MT,STOLEN,
600334,GRYSIL,PARKPRU        ,,0,MT,UNKNOWN,
600335,WHI   ,EGO            ,G FORCE        ,4,EL,STOLEN,1800.0
600336,GRY   ,TREK           ,,21,MT,STOLEN,300.0
600337,SIL   ,GIANT          ,,21,MT,STOLEN,400.0
600338,BLK   ,NEXT           ,24' B HIGH PEAK,6,OT,STOLEN,78.0
600339,DGR   ,SUPERCYCLE     ,UNK            ,8,MT,STOLEN,120.0
600340,GRY   ,FUJI           ,NEWEST         ,21,OT,STOLEN,
600341,WHI   ,OTHER          ,TEVBIKE        ,1,EL,STOLEN,1100.0
600342,WHIGRY,SPECIALIZED    ,STUNTJUMPER FSR,20,MT,STOLEN,5700.0
600343,BLKGRN,SUPERCYCLE     ,,21,MT,STOLEN,200.0
600344,RED   ,OTHER          ,UNKNOWN        ,21,OT,STOLEN,200.0
600345,BLK   ,SWOBO          ,DELNORTE       ,1,OT,STOLEN,1000.0
600346,PLE   ,UNKNOWN MAKE   ,,10,MT,STOLEN,50.0
600347,RED   ,NORCO          ,CITY GLIDE     ,8,OT,RECOVERED,400.0
600348,BLKSIL,GIANT          ,FCR2           ,21,MT,STOLEN,1400.0
600349,BLK   ,SCHWINN        ,KICKER         ,21,MT,STOLEN,300.0
600350,PLE   ,NEXT           ,CHALLENGER     ,18,RG,STOLEN,100.0
600351,DGR   ,IRON HORSE     ,,18,MT,STOLEN,700.0
600352,DGR   ,IRON HORSE     ,,18,MT,STOLEN,700.0
600353,WHI   ,CCM            ,21 SPEED       ,21,MT,STOLEN,240.0
600354,BLKMRN,HSM            ,312,1,EL,STOLEN,902.0
600355,RED   ,FUJI           ,ROUBAIN        ,21,OT,STOLEN,2000.0
600356,BLK   ,TREK           ,MADONE         ,21,OT,STOLEN,3500.0
