timeID,hour,day,month,year,dayOfWeek
611836,19,1,January,2014,Wednesday 
600298,20,1,January,2014,Wednesday 
640462,21,1,January,2014,Wednesday 
648989,22,1,January,2014,Wednesday 
640741,23,1,January,2014,Wednesday 
600748,0,2,January,2014,Thursday  
647525,1,2,January,2014,Thursday  
610843,4,2,January,2014,Thursday  
600748,5,2,January,2014,Thursday  
616018,6,2,January,2014,Thursday  
657867,7,2,January,2014,Thursday  
629249,8,2,January,2014,Thursday  
616686,9,2,January,2014,Thursday  
629695,10,2,January,2014,Thursday  
629271,11,2,January,2014,Thursday  
629263,12,2,January,2014,Thursday  
618796,13,2,January,2014,Thursday  
629696,14,2,January,2014,Thursday  
610842,15,2,January,2014,Thursday  
629656,16,2,January,2014,Thursday  
625929,17,2,January,2014,Thursday  
616016,18,2,January,2014,Thursday  
616683,19,2,January,2014,Thursday  
616685,20,2,January,2014,Thursday  
629657,21,2,January,2014,Thursday  
629671,22,2,January,2014,Thursday  
600712,23,2,January,2014,Thursday  
618379,0,3,January,2014,Friday    
618642,1,3,January,2014,Friday    
600321,2,3,January,2014,Friday    
601323,3,3,January,2014,Friday    
600495,4,3,January,2014,Friday    
600955,5,3,January,2014,Friday    
610566,6,3,January,2014,Friday    
634802,7,3,January,2014,Friday    
601324,8,3,January,2014,Friday    
600496,9,3,January,2014,Friday    
646952,10,3,January,2014,Friday    
600581,11,3,January,2014,Friday    
646770,12,3,January,2014,Friday    
601325,13,3,January,2014,Friday    
602328,14,3,January,2014,Friday    
618659,15,3,January,2014,Friday    
618765,16,3,January,2014,Friday    
611241,17,3,January,2014,Friday    
634803,18,3,January,2014,Friday    
649649,19,3,January,2014,Friday    
600472,20,3,January,2014,Friday    
631926,21,3,January,2014,Friday    
618643,22,3,January,2014,Friday    
600315,23,3,January,2014,Friday    
601091,0,4,January,2014,Saturday  
601438,1,4,January,2014,Saturday  
647273,2,4,January,2014,Saturday  
632484,3,4,January,2014,Saturday  
630785,4,4,January,2014,Saturday  
648229,5,4,January,2014,Saturday  
602763,8,4,January,2014,Saturday  
643563,9,4,January,2014,Saturday  
602513,10,4,January,2014,Saturday  
630667,11,4,January,2014,Saturday  
610381,12,4,January,2014,Saturday  
646670,13,4,January,2014,Saturday  
646602,14,4,January,2014,Saturday  
646509,15,4,January,2014,Saturday  
610382,16,4,January,2014,Saturday  
630325,17,4,January,2014,Saturday  
610383,18,4,January,2014,Saturday  
602514,19,4,January,2014,Saturday  
602103,20,4,January,2014,Saturday  
603121,21,4,January,2014,Saturday  
632482,22,4,January,2014,Saturday  
601103,23,4,January,2014,Saturday  
601104,0,5,January,2014,Sunday    
646671,1,5,January,2014,Sunday    
610498,2,5,January,2014,Sunday    
610384,3,5,January,2014,Sunday    
610467,4,5,January,2014,Sunday    
626631,5,5,January,2014,Sunday    
630108,6,5,January,2014,Sunday    
630112,8,5,January,2014,Sunday    
646515,9,5,January,2014,Sunday    
610499,10,5,January,2014,Sunday    
601850,11,5,January,2014,Sunday    
604271,12,5,January,2014,Sunday    
610385,13,5,January,2014,Sunday    
610500,14,5,January,2014,Sunday    
601093,15,5,January,2014,Sunday    
601850,16,5,January,2014,Sunday    
610477,17,5,January,2014,Sunday    
617403,18,5,January,2014,Sunday    
646788,19,5,January,2014,Sunday    
612233,20,5,January,2014,Sunday    
602417,21,5,January,2014,Sunday    
630605,22,5,January,2014,Sunday    
602515,23,5,January,2014,Sunday    
625532,0,6,January,2014,Monday    
600700,1,6,January,2014,Monday    
616970,2,6,January,2014,Monday    
600874,5,6,January,2014,Monday    
600426,7,6,January,2014,Monday    
647716,8,6,January,2014,Monday    
647116,9,6,January,2014,Monday    
616971,10,6,January,2014,Monday    
600728,11,6,January,2014,Monday    
600873,12,6,January,2014,Monday    
616387,13,6,January,2014,Monday    
616972,14,6,January,2014,Monday    
600425,15,6,January,2014,Monday    
612560,16,6,January,2014,Monday    
616974,17,6,January,2014,Monday    
616020,18,6,January,2014,Monday    
600749,19,6,January,2014,Monday    
616398,20,6,January,2014,Monday    
600705,21,6,January,2014,Monday    
600754,22,6,January,2014,Monday    
647067,23,6,January,2014,Monday    
600594,0,7,January,2014,Tuesday   
640453,1,7,January,2014,Tuesday   
600289,2,7,January,2014,Tuesday   
640495,3,7,January,2014,Tuesday   
609839,4,7,January,2014,Tuesday   
600773,5,7,January,2014,Tuesday   
609088,7,7,January,2014,Tuesday   
600862,8,7,January,2014,Tuesday   
600778,9,7,January,2014,Tuesday   
623445,10,7,January,2014,Tuesday   
600734,11,7,January,2014,Tuesday   
600779,12,7,January,2014,Tuesday   
640366,13,7,January,2014,Tuesday   
623830,14,7,January,2014,Tuesday   
600780,15,7,January,2014,Tuesday   
600781,16,7,January,2014,Tuesday   
609840,17,7,January,2014,Tuesday   
640447,18,7,January,2014,Tuesday   
600782,19,7,January,2014,Tuesday   
600774,20,7,January,2014,Tuesday   
600412,21,7,January,2014,Tuesday   
600402,22,7,January,2014,Tuesday   
625483,23,7,January,2014,Tuesday   
