,timeID,hour,day,month,year,dayofweek
62072,114693,12,1,5,2018,3
62073,114694,10,9,8,2018,5
62074,114695,11,9,8,2018,5
62075,114696,08,1,8,2018,4
62076,114697,15,9,8,2018,5
62077,114698,10,8,8,2018,4
62078,114699,23,9,8,2018,5
62079,114701,12,9,7,2018,2
62080,114702,14,14,1,2018,1
62081,114703,11,11,8,2018,7
62082,114704,00,12,8,2018,1
62083,114705,22,10,8,2018,6
62084,114709,18,12,8,2018,1
62085,114710,03,13,8,2018,2
62086,114711,18,22,1,2018,2
62087,114712,21,12,8,2018,1
62088,114713,12,13,8,2018,2
62089,114714,04,9,8,2018,5
62090,114716,20,9,8,2018,5
62091,114717,01,13,8,2018,2
62092,114719,19,12,8,2018,1
62093,114720,16,13,8,2018,2
62094,114721,00,3,8,2018,6
62095,114723,23,13,8,2018,2
62096,114724,02,6,7,2018,6
62097,114725,17,5,8,2018,1
62098,114726,22,13,8,2018,2
62099,114727,21,9,8,2018,5
62100,114730,22,15,8,2018,4
62101,114732,21,15,8,2018,4
62102,114737,12,5,8,2018,1
62103,114738,09,17,7,2018,3
62104,114739,03,12,8,2018,1
62105,114740,13,10,8,2018,6
62106,114742,12,16,8,2018,5
62107,114743,20,15,8,2018,4
62108,114744,19,18,2,2018,1
62109,114745,06,19,2,2018,2
62110,114746,13,5,3,2018,2
62111,114747,18,19,8,2018,1
62112,114749,03,24,8,2018,6
62113,114751,12,23,8,2018,5
62114,114752,17,4,3,2018,1
62115,114753,20,24,8,2018,6
62116,114754,09,20,8,2018,2
62117,114755,18,20,8,2018,2
62118,114757,11,21,8,2018,3
62119,114759,03,27,8,2018,2
62120,114761,02,18,8,2018,7
62121,114762,21,27,8,2018,2
62122,114763,01,28,8,2018,3
62123,114764,05,28,8,2018,3
62124,114765,10,16,8,2018,5
62125,114766,22,27,8,2018,2
62126,114768,16,24,8,2018,6
62127,114769,15,28,8,2018,3
62128,114770,14,19,2,2018,2
62129,114772,07,28,8,2018,3
62130,114774,09,28,8,2018,3
62131,114776,19,28,8,2018,3
62132,114779,03,4,8,2018,7
62133,114780,16,18,8,2018,7
62134,114781,22,22,8,2018,4
62135,114783,22,29,8,2018,4
62136,114785,00,31,8,2018,6
62137,114786,21,22,8,2018,4
62138,114787,18,29,8,2018,4
62139,114788,20,31,8,2018,6
62140,114789,20,1,9,2018,7
62141,114790,22,1,9,2018,7
62142,114792,12,30,8,2018,5
62143,114793,00,2,9,2018,1
62144,114794,10,3,9,2018,2
62145,114795,19,29,8,2018,4
62146,114797,13,4,9,2018,3
62147,114798,00,28,8,2018,3
62148,114799,21,2,9,2018,1
62149,114800,02,29,8,2018,4
62150,114801,01,5,9,2018,4
62151,114803,20,26,8,2018,1
62152,114804,18,22,6,2018,6
62153,114805,19,26,1,2018,6
62154,114806,04,7,9,2018,6
62155,114808,14,5,9,2018,4
62156,114809,13,7,9,2018,6
62157,114810,19,8,9,2018,7
62158,114816,16,6,9,2018,5
62159,114819,13,6,9,2018,5
62160,114820,23,9,9,2018,1
62161,114821,18,7,9,2018,6
62162,114822,22,4,9,2018,3
62163,114823,08,8,9,2018,7
62164,114824,11,11,9,2018,3
62165,114825,18,5,9,2018,4
62166,114826,22,11,9,2018,3
62167,114827,07,12,9,2018,4
62168,114829,15,12,9,2018,4
62169,114830,15,13,9,2018,5
62170,114831,22,2,3,2018,6
62171,114832,09,6,3,2018,3
62172,114833,00,23,2,2018,6
62173,114835,17,8,3,2018,5
62174,114836,14,9,3,2018,6
62175,114837,15,2,3,2018,6
62176,114838,17,6,3,2018,3
62177,114839,08,12,3,2018,2
62178,114840,17,10,3,2018,7
62179,114842,01,2,3,2018,6
62180,114844,19,14,3,2018,4
62181,114845,08,15,3,2018,5
62182,114846,20,10,3,2018,7
62183,114847,18,1,1,2018,2
62184,114848,00,16,3,2018,6
62185,114850,11,15,3,2018,5
62186,114851,09,17,3,2018,7
62187,114853,14,17,3,2018,7
62188,114854,21,17,3,2018,7
62189,114855,18,28,12,2016,4
62190,114856,21,14,3,2018,4
62191,114858,18,24,2,2018,7
62192,114859,12,12,3,2018,2
62193,114860,12,19,3,2018,2
62194,114861,01,20,3,2018,3
62195,114862,13,19,3,2018,2
62196,114863,09,19,3,2018,2
62197,114864,01,21,3,2018,4
62198,114866,11,21,3,2018,4
62199,114867,21,5,2,2018,2
62200,114868,14,16,3,2018,6
62201,114872,22,20,3,2018,3
62202,114873,07,22,3,2018,5
62203,114874,11,22,3,2018,5
62204,114875,12,22,3,2018,5
62205,114876,17,22,3,2018,5
62206,114877,20,22,3,2018,5
62207,114878,17,21,3,2018,4
62208,114879,18,21,3,2018,4
62209,114880,09,10,3,2018,7
62210,114881,10,23,3,2018,6
62211,114882,20,24,3,2018,7
62212,114883,04,24,3,2018,7
62213,114885,14,24,3,2018,7
62214,114886,18,25,3,2018,1
62215,114888,01,25,3,2018,1
62216,114889,08,9,3,2018,6
62217,114890,01,26,3,2018,2
62218,114891,09,24,3,2018,7
62219,114892,00,25,3,2018,1
62220,114893,23,8,3,2018,5
62221,114894,08,24,3,2018,7
62222,114895,14,26,3,2018,2
62223,114897,16,26,3,2018,2
62224,114898,19,18,3,2018,1
62225,114899,00,28,2,2017,3
62226,114900,16,23,3,2018,6
62227,114901,09,27,3,2018,3
62228,114902,14,21,2,2018,4
62229,114904,19,17,3,2018,7
62230,114905,01,27,3,2018,3
62231,114906,07,27,3,2018,3
62232,114908,02,18,2,2018,1
